x,y,name
20,0,11
30,0,12
40,0,13
50,0,14
60,2,13
70,-1,11
70,2,14
77,2,12
77,-1,14
87,1,13
92,2,11
97,-1,12
107,-2,11
107,0,14
117,-2,13
122,-2,14
127,-2,11
127,1,13
132,1,12
132,-2,14
142,2,11
147,-2,11
147,-1,13
152,2,12
152,-1,13
162,-2,13
162,-1,14
162,2,11
172,-2,12
172,-1,14
172,2,13
179,0,13
189,-1,14
194,-1,14
199,-1,14
209,1,13
212,2,14
215,1,11
225,2,11
230,-1,12
240,-2,11
240,0,14
250,-2,13
255,-2,14
260,1,13
265,1,12
265,-2,14
275,2,13
280,-2,14
280,-1,13
285,2,12
285,0,13
295,-2,13
295,-1,14
295,2,11
305,1,12
308,1,13
