x,y,name,,,,,,,,,,
10,2,40,,,,,,,,,,
20,2,29,,,,,,,,,,
30,1.9,30,,,,,,,,,,
40,-4,31,,,,,,,,,,
50,2,29,,,,,,,,,,
50,-4,31,,,,10,1,50,,10,2,40
60,1.9,30,,,,20,2,51,,20,2,29
67,2,10,,,,30,-1,50,,30,1.9,30
74,1.9,30,,,,30,2,52,,40,-4,31
80,-1.5,40,,,,40,-1,51,,50,2,29
86,-4,31,,,,40,-2,53,,50,-4,31
93,2,29,,,,50,1,52,,60,1.9,30
93,-4,31,,,,60,-1,50,,67,2,10
100,-4,31,,,,60,2,53,,74,1.9,30
110,1.9,30,,,,70,2,50,,80,-1.5,40
117,1.9,30,,,,,,,,,,
124,1.9,30,,,,,,,,,,
135,-4,31,,,,,,,,,,
142,-4,31,,,,,,,,,,
149,1,29,,,,,,,,,,
149,6,30,,,,,,,,,,
149,-4,31,,,,,,,,,,
157.5,-2.1,40,,,,,,,,,,
166,-4,31,,,,,,,,,,
176,1.9,30,,,,,,,,,,
183,-4,31,,,,,,,,,,
190,1.9,30,,,,,,,,,,
200,2,29,,,,,,,,,,
210,1.9,30,,,,,,,,,,
217,-4,31,,,,,,,,,,
224,-4,31,,,,,,,,,,
231,1.9,30,,,,,,,,,,
241,2,40,,,,,,,,,,
241,-4,31,,,,,,,,,,
248,-4,31,,,,,,,,,,
255,1.9,30,,,,,,,,,,
255,-2.1,29,,,,,,,,,,
265,-4,31,,,,,,,,,,
272,2,29,,,,,,,,,,
272,-4,31,,,,,,,,,,
279,-4,31,,,,,,,,,,
289,1,40,,,,,,,,,,
289,6,30,,,,,,,,,,
295,4,30,,,,,,,,,,
301,1.9,30,,,,,,,,,,
308,1.9,30,,,,,,,,,,
314,4,30,,,,,,,,,,
320,1,29,,,,,,,,,,
320,6,30,,,,,,,,,,
330,-4,31,,,,,,,,,,
337,-4.5,31,,,,,,,,,,
344,-5,31,,,,,,,,,,
351,0,40,,,,,,,,,,
358,-5,31,,,,,,,,,,
365,-4.5,31,,,,,,,,,,
372,-4,31,,,,,,,,,,
380,1.9,30,,,,,,,,,,
385,2,29,,,,,,,,,,
395,-4,31,,,,,,,,,,
400,0,60,,미니게임 이쯤..,,,,,,,,
425,1,50,,,,10,1,50,,400,-4,31
435,2,51,,,,20,2,51,,407,2,29
445,-1,50,,,,30,-1,50,,414,-4,31
445,2,52,,,,30,2,52,,419,1.9,30
455,-1,51,,,,40,-1,51,,424,2,40
455,-2,53,,,,40,-2,53,,434,-4,31
465,1,52,,,,50,1,52,,444,-4,31
475,-1,50,,,,60,-1,50,,454,1.9,30
475,2,53,,,,60,2,53,,464,1.9,30
485,2,50,,,,70,2,50,,474,-4,31
494,1.9,30,,,,,,,,,,
501,2,29,,,,,,,,,,
508,1.9,30,,,,,,,,,,
520,-4,31,,,,,,,,,,
525,-4,31,,,,,,,,,,
530,-4,31,,,,,,,,,,
535,1.9,30,,,,,,,,,,
538,1.9,30,,,,,,,,,,
541,1.9,30,,,,,,,,,,
548.5,2,40,,,,,,,,,,
556,1.9,30,,,,,,,,,,
559,1.9,30,,,,,,,,,,
562,1.9,30,,,,,,,,,,
566,0,29,,,,,,,,,,
568,-4,31,,,,,,,,,,
573,-4,31,,,,,,,,,,
578,1.9,30,,,,,,,,,,
587,-4,31,,,,,,,,,,
592,1.9,30,,,,,,,,,,
595,4,30,,,,,,,,,,
595,-0.85,29,,,,,,,,,,
598,1.9,30,,,,,,,,,,
601,4,30,,,,,,,,,,
601,-0.85,40,,,,,,,,,,
604,1.9,30,,,,,,,,,,
612,6,30,,,,,,,,,,
612,-4,31,,,,,,,,,,
617,6,30,,,,,,,,,,
617,-4,31,,,,,,,,,,
622,6,30,,,,,,,,,,
622,-4,31,,,,,,,,,,
627,6,30,,,,,,,,,,
627,-4,31,,,,,,,,,,
632,1.9,30,,,,,,,,,,
637,-4,30,,,,,,,,,,
642,6,30,,,,,,,,,,
642,1,29,,,,,,,,,,
645,3.5,30,,,,,,,,,,
648,1.9,30,,,,,,,,,,
651,1.9,30,,,,,,,,,,
654,3.5,30,,,,,,,,,,
657,6,30,,,,,,,,,,
657,1,29,,,,,,,,,,
666,5,30,,,,,,,,,,
667.5,0.5,40,,,,,,,,,,
669,-4,31,,,,,,,,,,
674,1.9,30,,,,,,,,,,
679,-4,31,,,,,,,,,,
684,-4,31,,,,,,,,,,
689,1.9,30,,,,,,,,,,
694,-4,31,,,,,,,,,,
695.5,0.5,29,,,,,,,,,,
697,5,30,,,,,,,,,,
707,1.9,30,,,,,,,,,,
710,4,30,,,,,,,,,,
710,-0.85,29,,,,,,,,,,
713,1.9,30,,,,,,,,,,
716,4,30,,,,,,,,,,
716,-0.85,40,,,,,,,,,,
719,1.9,30,,,,,,,,,,
724,5,30,,,,,,,,,,
727,-4,31,,,,,,,,,,
732,5,30,,,,,,,,,,
735,-4,31,,,,,,,,,,
